nohup: ignoring input
3 3 0.01 20000 0.2 ['fridge', 'dw', 'mw', 'hvac', 'dr']
Round: 500 Training Error: 77.4341049194336 Validation Error: 100.44054412841797 Test Error: 109.9183120727539
Round: 1000 Training Error: 65.89203643798828 Validation Error: 94.88819122314453 Test Error: 102.134765625
Round: 1500 Training Error: 64.2625732421875 Validation Error: 93.41615295410156 Test Error: 100.38770294189453
Round: 2000 Training Error: 63.46281814575195 Validation Error: 92.96952819824219 Test Error: 99.61994934082031
Round: 2500 Training Error: 63.210533142089844 Validation Error: 93.2618179321289 Test Error: 100.85276794433594
Round: 3000 Training Error: 62.590660095214844 Validation Error: 92.59722900390625 Test Error: 100.04854583740234
Round: 3500 Training Error: 62.475738525390625 Validation Error: 92.86905670166016 Test Error: 100.85453033447266
Round: 4000 Training Error: 62.33368682861328 Validation Error: 93.25093078613281 Test Error: 100.42039489746094
Round: 4500 Training Error: 62.20550537109375 Validation Error: 93.5250015258789 Test Error: 101.15267944335938
Round: 5000 Training Error: 62.01787567138672 Validation Error: 93.02029418945312 Test Error: 100.41989135742188
Round: 5500 Training Error: 61.95740509033203 Validation Error: 92.91797637939453 Test Error: 100.72785949707031
Round: 6000 Training Error: 61.748558044433594 Validation Error: 92.32350158691406 Test Error: 99.57630157470703
Round: 6500 Training Error: 61.74474334716797 Validation Error: 91.89921569824219 Test Error: 99.30501556396484
Round: 7000 Training Error: 61.71366882324219 Validation Error: 92.32317352294922 Test Error: 99.48698425292969
Round: 7500 Training Error: 61.631019592285156 Validation Error: 92.26334381103516 Test Error: 99.91313934326172
Round: 8000 Training Error: 63.04446029663086 Validation Error: 92.8722152709961 Test Error: 101.44628143310547
Round: 8500 Training Error: 59.8311767578125 Validation Error: 91.52593231201172 Test Error: 99.54707336425781
Round: 9000 Training Error: 61.485328674316406 Validation Error: 92.0632095336914 Test Error: 100.27814483642578
Round: 9500 Training Error: 61.246421813964844 Validation Error: 91.39509582519531 Test Error: 99.1547622680664
Round: 10000 Training Error: 61.206241607666016 Validation Error: 91.90599822998047 Test Error: 99.2733383178711
Round: 10500 Training Error: 60.12501907348633 Validation Error: 92.98198699951172 Test Error: 100.61318969726562
Round: 11000 Training Error: 61.103267669677734 Validation Error: 92.8377914428711 Test Error: 99.65355682373047
Round: 11500 Training Error: 61.95833969116211 Validation Error: 91.15645599365234 Test Error: 99.900390625
Round: 12000 Training Error: 61.0833740234375 Validation Error: 92.42556762695312 Test Error: 99.49211120605469
Round: 12500 Training Error: 59.521575927734375 Validation Error: 91.95958709716797 Test Error: 99.37886047363281
Round: 13000 Training Error: 59.53102111816406 Validation Error: 92.89515686035156 Test Error: 100.08663940429688
Round: 13500 Training Error: 61.28535079956055 Validation Error: 92.42749786376953 Test Error: 99.39505767822266
Round: 14000 Training Error: 61.59892272949219 Validation Error: 93.59170532226562 Test Error: 100.16279602050781
Round: 14500 Training Error: 59.917484283447266 Validation Error: 92.81900024414062 Test Error: 99.55339050292969
Round: 15000 Training Error: 59.323944091796875 Validation Error: 92.39530944824219 Test Error: 99.04198455810547
Round: 15500 Training Error: 60.57999038696289 Validation Error: 92.83023834228516 Test Error: 99.43457794189453
Round: 16000 Training Error: 60.83906173706055 Validation Error: 93.56554412841797 Test Error: 99.78607177734375
Round: 16500 Training Error: 60.594451904296875 Validation Error: 93.26634216308594 Test Error: 99.61197662353516
Round: 17000 Training Error: 62.12310791015625 Validation Error: 91.84847259521484 Test Error: 98.94811248779297
Round: 17500 Training Error: 60.57083511352539 Validation Error: 93.45303344726562 Test Error: 99.06578826904297
Round: 18000 Training Error: 62.69743728637695 Validation Error: 94.67176818847656 Test Error: 99.65814971923828
Round: 18500 Training Error: 61.060577392578125 Validation Error: 93.41387939453125 Test Error: 99.35489654541016
Round: 19000 Training Error: 60.19228744506836 Validation Error: 93.85533905029297 Test Error: 100.58145904541016
Round: 19500 Training Error: 59.102622985839844 Validation Error: 93.15729522705078 Test Error: 99.27960968017578
Round: 20000 Training Error: 60.357688903808594 Validation Error: 93.86787414550781 Test Error: 99.32655334472656
3 3 0.01 20000 0.4 ['fridge', 'dw', 'mw', 'hvac', 'dr']
Round: 500 Training Error: 77.17098236083984 Validation Error: 100.34169006347656 Test Error: 110.0727310180664
Round: 1000 Training Error: 65.24120330810547 Validation Error: 96.62995147705078 Test Error: 102.75244140625
Round: 1500 Training Error: 64.68714904785156 Validation Error: 94.84757995605469 Test Error: 100.20259857177734
Round: 2000 Training Error: 61.80199432373047 Validation Error: 95.42935943603516 Test Error: 100.73847198486328
Round: 2500 Training Error: 61.24988555908203 Validation Error: 95.1464614868164 Test Error: 101.50296783447266
Round: 3000 Training Error: 62.7055549621582 Validation Error: 94.4649658203125 Test Error: 99.63916778564453
Round: 3500 Training Error: 62.58868408203125 Validation Error: 94.76348876953125 Test Error: 99.93852233886719
Round: 4000 Training Error: 62.34019088745117 Validation Error: 95.18778991699219 Test Error: 100.62922668457031
Round: 4500 Training Error: 62.33348083496094 Validation Error: 95.14559936523438 Test Error: 101.54674530029297
