nohup: ignoring input
3 3 0.01 20000 0.0 ['fridge', 'hvac', 'dr', 'mw', 'dw']
Round: 11500 Training Error: 72.4604263305664 Validation Error: 95.35285186767578 Test Error: 103.40846252441406
Round: 12000 Training Error: 73.1688232421875 Validation Error: 94.41522979736328 Test Error: 103.24805450439453
Round: 12500 Training Error: 72.35588836669922 Validation Error: 94.99666595458984 Test Error: 103.91512298583984
Round: 13000 Training Error: 72.4654769897461 Validation Error: 94.89620208740234 Test Error: 103.6385726928711
Round: 13500 Training Error: 72.33428192138672 Validation Error: 94.95350646972656 Test Error: 104.0641860961914
Round: 14000 Training Error: 72.30709838867188 Validation Error: 95.06714630126953 Test Error: 104.01129913330078
Round: 14500 Training Error: 72.33106994628906 Validation Error: 95.3265151977539 Test Error: 103.85374450683594
Round: 15000 Training Error: 72.33527374267578 Validation Error: 95.26850891113281 Test Error: 104.08570098876953
Round: 15500 Training Error: 72.40396881103516 Validation Error: 95.14128875732422 Test Error: 104.46351623535156
Round: 16000 Training Error: 72.2110824584961 Validation Error: 94.90806579589844 Test Error: 103.74913787841797
Round: 16500 Training Error: 72.4271240234375 Validation Error: 96.1651382446289 Test Error: 105.0904541015625
Round: 17000 Training Error: 72.12889099121094 Validation Error: 95.26374816894531 Test Error: 103.88121795654297
Round: 17500 Training Error: 72.1114273071289 Validation Error: 95.10606384277344 Test Error: 103.91567993164062
Round: 18000 Training Error: 72.11347961425781 Validation Error: 95.74666595458984 Test Error: 104.18409729003906
Round: 18500 Training Error: 73.28672790527344 Validation Error: 94.86334991455078 Test Error: 102.68114471435547
Round: 19000 Training Error: 72.2152328491211 Validation Error: 95.7321548461914 Test Error: 104.452880859375
Round: 19500 Training Error: 72.18753051757812 Validation Error: 95.63005828857422 Test Error: 104.8263168334961
Round: 20000 Training Error: 72.63214111328125 Validation Error: 94.21772003173828 Test Error: 103.32331848144531
3 3 0.01 20000 0.0 ['fridge', 'hvac', 'dr', 'mw', 'dw']
Round: 500 Training Error: 88.40254974365234 Validation Error: 101.01809692382812 Test Error: 110.26009368896484
Round: 1000 Training Error: 82.35543823242188 Validation Error: 96.0717544555664 Test Error: 105.16336059570312
Round: 1500 Training Error: 79.75553131103516 Validation Error: 91.26976776123047 Test Error: 101.99055480957031
Round: 2000 Training Error: 79.02042388916016 Validation Error: 91.71472930908203 Test Error: 100.75232696533203
Round: 2500 Training Error: 78.44999694824219 Validation Error: 91.89768981933594 Test Error: 101.07701110839844
Round: 3000 Training Error: 78.25157928466797 Validation Error: 91.67608642578125 Test Error: 100.88475036621094
Round: 3500 Training Error: 77.95858001708984 Validation Error: 90.66888427734375 Test Error: 100.84493255615234
Round: 4000 Training Error: 77.79841613769531 Validation Error: 90.52989196777344 Test Error: 101.22224426269531
Round: 4500 Training Error: 77.7177505493164 Validation Error: 90.22503662109375 Test Error: 100.87010955810547
Round: 5000 Training Error: 77.72102355957031 Validation Error: 90.73492431640625 Test Error: 100.85677337646484
Round: 5500 Training Error: 77.4939956665039 Validation Error: 90.24579620361328 Test Error: 100.69152069091797
Round: 6000 Training Error: 77.3160629272461 Validation Error: 90.29480743408203 Test Error: 100.71101379394531
Round: 6500 Training Error: 77.32628631591797 Validation Error: 90.30758666992188 Test Error: 100.58659362792969
Round: 7000 Training Error: 77.3653793334961 Validation Error: 90.58847045898438 Test Error: 100.89481353759766
Round: 7500 Training Error: 77.19739532470703 Validation Error: 90.58047485351562 Test Error: 100.77086639404297
Round: 8000 Training Error: 77.13349914550781 Validation Error: 90.34228515625 Test Error: 100.74571990966797
Round: 8500 Training Error: 77.27189636230469 Validation Error: 90.52794647216797 Test Error: 101.3960952758789
Round: 9000 Training Error: 76.99805450439453 Validation Error: 89.78935241699219 Test Error: 101.42576599121094
Round: 9500 Training Error: 77.00634002685547 Validation Error: 90.10440063476562 Test Error: 101.72986602783203
Round: 10000 Training Error: 78.6373291015625 Validation Error: 88.7803726196289 Test Error: 101.19422149658203
Round: 10500 Training Error: 76.86299896240234 Validation Error: 90.25837707519531 Test Error: 101.23389434814453
Round: 11000 Training Error: 76.87782287597656 Validation Error: 90.70700073242188 Test Error: 101.52777862548828
Round: 11500 Training Error: 76.84662628173828 Validation Error: 90.0 Test Error: 100.65853118896484
Round: 12000 Training Error: 76.75685119628906 Validation Error: 90.5428237915039 Test Error: 100.92878723144531
