nohup: ignoring input
3 4 0.1 20000 0.0 ['dr', 'hvac', 'mw', 'dw', 'fridge']
Round: 11500 Training Error: 69.33125305175781 Validation Error: 99.29828643798828 Test Error: 88.44055938720703
Round: 12000 Training Error: 69.40139770507812 Validation Error: 99.54720306396484 Test Error: 89.15415954589844
Round: 12500 Training Error: 72.57490539550781 Validation Error: 100.97080993652344 Test Error: 89.29993438720703
Round: 13000 Training Error: 69.22856903076172 Validation Error: 99.47113800048828 Test Error: 89.01996612548828
Round: 13500 Training Error: 69.10887145996094 Validation Error: 99.32381439208984 Test Error: 89.2055892944336
Round: 14000 Training Error: 73.35932159423828 Validation Error: 103.24861907958984 Test Error: 89.53520202636719
Round: 14500 Training Error: 69.4290771484375 Validation Error: 98.90164947509766 Test Error: 88.47124481201172
Round: 15000 Training Error: 69.01034545898438 Validation Error: 99.50252532958984 Test Error: 88.67235565185547
Round: 15500 Training Error: 69.31456756591797 Validation Error: 99.66127014160156 Test Error: 89.11670684814453
Round: 16000 Training Error: 68.9076919555664 Validation Error: 99.3916015625 Test Error: 88.37506103515625
Round: 16500 Training Error: 68.93775177001953 Validation Error: 99.43350219726562 Test Error: 88.43002319335938
Round: 17000 Training Error: 69.09913635253906 Validation Error: 99.4663314819336 Test Error: 88.08235931396484
Round: 17500 Training Error: 69.07825469970703 Validation Error: 100.06525421142578 Test Error: 88.0860366821289
Round: 18000 Training Error: 68.96829223632812 Validation Error: 99.39698791503906 Test Error: 88.69277954101562
Round: 18500 Training Error: 69.21773529052734 Validation Error: 99.20148468017578 Test Error: 87.89762878417969
Round: 19000 Training Error: 69.22068786621094 Validation Error: 99.29296875 Test Error: 88.43966674804688
Round: 19500 Training Error: 68.80078887939453 Validation Error: 99.40628051757812 Test Error: 88.22615051269531
Round: 20000 Training Error: 69.97122955322266 Validation Error: 99.03903198242188 Test Error: 88.15399932861328
3 4 0.1 20000 0.0 ['dr', 'hvac', 'mw', 'dw', 'fridge']
Round: 500 Training Error: 70.7041015625 Validation Error: 100.77688598632812 Test Error: 89.38282775878906
Round: 1000 Training Error: 69.23362731933594 Validation Error: 100.8655776977539 Test Error: 90.2632827758789
Round: 1500 Training Error: 68.48168182373047 Validation Error: 100.35840606689453 Test Error: 88.48204803466797
Round: 2000 Training Error: 67.85475158691406 Validation Error: 100.60201263427734 Test Error: 88.8580093383789
Round: 2500 Training Error: 67.71385955810547 Validation Error: 100.7970199584961 Test Error: 88.72335052490234
Round: 3000 Training Error: 67.54141235351562 Validation Error: 100.60454559326172 Test Error: 88.83718872070312
Round: 3500 Training Error: 67.418701171875 Validation Error: 101.33416748046875 Test Error: 88.6535415649414
Round: 4000 Training Error: 67.06768035888672 Validation Error: 100.9439926147461 Test Error: 88.54352569580078
Round: 4500 Training Error: 67.01631164550781 Validation Error: 101.20603942871094 Test Error: 88.56315612792969
Round: 5000 Training Error: 66.92481231689453 Validation Error: 101.56354522705078 Test Error: 88.83560180664062
Round: 5500 Training Error: 66.71993255615234 Validation Error: 100.41769409179688 Test Error: 87.87460327148438
Round: 6000 Training Error: 66.5984115600586 Validation Error: 100.43370056152344 Test Error: 88.06814575195312
Round: 6500 Training Error: 66.50245666503906 Validation Error: 100.87133026123047 Test Error: 88.00254821777344
Round: 7000 Training Error: 66.51676177978516 Validation Error: 101.11695861816406 Test Error: 88.68732452392578
Round: 7500 Training Error: 66.33526611328125 Validation Error: 101.43547058105469 Test Error: 88.64151000976562
Round: 8000 Training Error: 66.1697998046875 Validation Error: 101.19314575195312 Test Error: 88.35160064697266
Round: 8500 Training Error: 66.14363098144531 Validation Error: 101.68191528320312 Test Error: 88.53691864013672
Round: 9000 Training Error: 66.201171875 Validation Error: 101.56843566894531 Test Error: 88.24955749511719
Round: 9500 Training Error: 65.96724700927734 Validation Error: 101.47633361816406 Test Error: 88.27066040039062
Round: 10000 Training Error: 65.93519592285156 Validation Error: 101.42073059082031 Test Error: 87.83878326416016
Round: 10500 Training Error: 67.14838409423828 Validation Error: 103.14885711669922 Test Error: 88.76416778564453
Round: 11000 Training Error: 65.67023468017578 Validation Error: 101.57859802246094 Test Error: 88.0768051147461
Round: 11500 Training Error: 65.7831802368164 Validation Error: 102.0718002319336 Test Error: 88.40120697021484
Round: 12000 Training Error: 65.79267120361328 Validation Error: 101.44754791259766 Test Error: 87.5407485961914
Round: 12500 Training Error: 65.75960540771484 Validation Error: 102.39537811279297 Test Error: 88.07229614257812
Round: 13000 Training Error: 65.55101013183594 Validation Error: 101.9306869506836 Test Error: 87.83723449707031
Round: 13500 Training Error: 65.5658187866211 Validation Error: 102.42530822753906 Test Error: 87.80925750732422
Round: 14000 Training Error: 65.56348419189453 Validation Error: 101.81932067871094 Test Error: 87.59513092041016
Round: 14500 Training Error: 65.54161834716797 Validation Error: 101.77120971679688 Test Error: 87.4082260131836
Round: 15000 Training Error: 65.5645523071289 Validation Error: 102.4443130493164 Test Error: 87.86348724365234
Round: 15500 Training Error: 65.84070587158203 Validation Error: 102.15663146972656 Test Error: 87.57889556884766
Round: 16000 Training Error: 65.37604522705078 Validation Error: 102.27278900146484 Test Error: 87.33273315429688
Round: 16500 Training Error: 65.50263214111328 Validation Error: 102.24352264404297 Test Error: 86.74173736572266
Round: 17000 Training Error: 65.31053924560547 Validation Error: 101.80876922607422 Test Error: 86.9511489868164
Round: 17500 Training Error: 65.41120910644531 Validation Error: 102.3067855834961 Test Error: 86.9207763671875
Round: 18000 Training Error: 65.20763397216797 Validation Error: 102.12503051757812 Test Error: 87.0537338256836
Round: 18500 Training Error: 66.3346176147461 Validation Error: 102.15055847167969 Test Error: 86.04393005371094
Round: 19000 Training Error: 65.59162139892578 Validation Error: 101.8503189086914 Test Error: 87.21771240234375
