nohup: ignoring input
1 1 0.001 10000 0.0 ['hvac', 'fridge', 'dr', 'dw', 'mw']
Round: 500 Training Error: 179.85569763183594 Validation Error: 163.60472106933594 Test Error: 192.7537841796875
Round: 1000 Training Error: 127.40387725830078 Validation Error: 119.150390625 Test Error: 144.99658203125
Round: 1500 Training Error: 78.25364685058594 Validation Error: 86.9908218383789 Test Error: 98.01959991455078
Round: 2000 Training Error: 66.05461883544922 Validation Error: 90.984130859375 Test Error: 85.05998229980469
Round: 2500 Training Error: 63.63939666748047 Validation Error: 93.64364624023438 Test Error: 82.83257293701172
Round: 3000 Training Error: 62.42597579956055 Validation Error: 93.9139633178711 Test Error: 82.60442352294922
Round: 3500 Training Error: 60.91961669921875 Validation Error: 93.56977844238281 Test Error: 81.04681396484375
Round: 4000 Training Error: 58.995357513427734 Validation Error: 92.73110961914062 Test Error: 79.53778076171875
Round: 4500 Training Error: 56.37963104248047 Validation Error: 90.29711151123047 Test Error: 77.08515930175781
Round: 5000 Training Error: 53.42961120605469 Validation Error: 87.97298431396484 Test Error: 73.33038330078125
Round: 5500 Training Error: 50.82868957519531 Validation Error: 85.68574523925781 Test Error: 70.77557373046875
Round: 6000 Training Error: 48.34933090209961 Validation Error: 83.09980010986328 Test Error: 68.369873046875
Round: 6500 Training Error: 46.0667839050293 Validation Error: 81.13156127929688 Test Error: 64.90473175048828
Round: 7000 Training Error: 43.587825775146484 Validation Error: 77.90904998779297 Test Error: 63.31303024291992
Round: 7500 Training Error: 41.74086380004883 Validation Error: 76.24954986572266 Test Error: 61.54178237915039
Round: 8000 Training Error: 40.52323913574219 Validation Error: 75.86343383789062 Test Error: 59.2507438659668
Round: 8500 Training Error: 39.785560607910156 Validation Error: 75.55194854736328 Test Error: 58.483985900878906
Round: 9000 Training Error: 39.32030487060547 Validation Error: 75.38170623779297 Test Error: 57.71891403198242
Round: 9500 Training Error: 39.042640686035156 Validation Error: 75.26879119873047 Test Error: 57.11176300048828
Round: 10000 Training Error: 38.784324645996094 Validation Error: 74.95758819580078 Test Error: 57.85968780517578
