nohup: ignoring input
3 4 0.01 20000 0.2 ['dw', 'fridge', 'dr', 'hvac', 'mw']
Round: 500 Training Error: 78.44127655029297 Validation Error: 111.568603515625 Test Error: 98.02427673339844
Round: 1000 Training Error: 66.51542663574219 Validation Error: 106.22105407714844 Test Error: 91.98666381835938
Round: 1500 Training Error: 65.3389892578125 Validation Error: 103.72676086425781 Test Error: 89.4278564453125
Round: 2000 Training Error: 64.35396575927734 Validation Error: 105.82567596435547 Test Error: 89.64537811279297
Round: 2500 Training Error: 64.14862823486328 Validation Error: 107.66462707519531 Test Error: 89.79419708251953
Round: 3000 Training Error: 63.641868591308594 Validation Error: 108.93424224853516 Test Error: 89.41620635986328
Round: 3500 Training Error: 63.48509979248047 Validation Error: 110.8482437133789 Test Error: 90.1943130493164
Round: 4000 Training Error: 63.1302490234375 Validation Error: 109.76687622070312 Test Error: 90.03954315185547
Round: 4500 Training Error: 63.37825393676758 Validation Error: 110.81078338623047 Test Error: 90.25639343261719
Round: 5000 Training Error: 62.88694381713867 Validation Error: 111.76020812988281 Test Error: 91.0135498046875
Round: 5500 Training Error: 62.95701599121094 Validation Error: 114.17091369628906 Test Error: 91.29499053955078
Round: 6000 Training Error: 62.83126449584961 Validation Error: 111.02729034423828 Test Error: 90.53729248046875
Round: 6500 Training Error: 62.77961349487305 Validation Error: 111.58002471923828 Test Error: 91.1025161743164
Round: 7000 Training Error: 62.64406967163086 Validation Error: 111.74725341796875 Test Error: 90.31009674072266
Round: 7500 Training Error: 62.54867935180664 Validation Error: 110.46111297607422 Test Error: 90.46493530273438
Round: 8000 Training Error: 62.74891662597656 Validation Error: 112.47773742675781 Test Error: 91.57405090332031
Round: 8500 Training Error: 60.70559310913086 Validation Error: 112.0261459350586 Test Error: 91.30970001220703
Round: 9000 Training Error: 62.56678009033203 Validation Error: 109.9691390991211 Test Error: 90.76345825195312
Round: 9500 Training Error: 62.34263229370117 Validation Error: 111.02098846435547 Test Error: 91.58509826660156
Round: 10000 Training Error: 62.493289947509766 Validation Error: 112.78324890136719 Test Error: 91.48056030273438
Round: 10500 Training Error: 60.731201171875 Validation Error: 112.03985595703125 Test Error: 93.75943756103516
Round: 11000 Training Error: 62.162139892578125 Validation Error: 111.3832778930664 Test Error: 93.17117309570312
Round: 11500 Training Error: 62.188690185546875 Validation Error: 112.4247055053711 Test Error: 95.512939453125
Round: 12000 Training Error: 62.30386734008789 Validation Error: 111.939697265625 Test Error: 95.46468353271484
Round: 12500 Training Error: 60.355106353759766 Validation Error: 111.91734313964844 Test Error: 95.74634552001953
Round: 13000 Training Error: 60.519378662109375 Validation Error: 111.78269958496094 Test Error: 95.83849334716797
Round: 13500 Training Error: 61.928470611572266 Validation Error: 112.44131469726562 Test Error: 96.24400329589844
Round: 14000 Training Error: 62.033226013183594 Validation Error: 111.56659698486328 Test Error: 95.7193832397461
Round: 14500 Training Error: 60.561458587646484 Validation Error: 111.39834594726562 Test Error: 95.96646881103516
Round: 15000 Training Error: 60.181148529052734 Validation Error: 112.35260772705078 Test Error: 96.26045989990234
Round: 15500 Training Error: 62.01377868652344 Validation Error: 112.3437728881836 Test Error: 95.80877685546875
Round: 16000 Training Error: 61.76957702636719 Validation Error: 111.0348129272461 Test Error: 94.83867645263672
Round: 16500 Training Error: 61.7094612121582 Validation Error: 111.4709243774414 Test Error: 94.82907104492188
Round: 17000 Training Error: 62.02859878540039 Validation Error: 110.74173736572266 Test Error: 93.11282348632812
Round: 17500 Training Error: 61.84206008911133 Validation Error: 110.67996978759766 Test Error: 93.36103820800781
Round: 18000 Training Error: 61.675235748291016 Validation Error: 110.23323822021484 Test Error: 93.58935546875
Round: 18500 Training Error: 61.84907150268555 Validation Error: 111.20316314697266 Test Error: 94.06514739990234
Round: 19000 Training Error: 60.295562744140625 Validation Error: 109.71206665039062 Test Error: 92.63182067871094
Round: 19500 Training Error: 60.341529846191406 Validation Error: 110.792236328125 Test Error: 93.15194702148438
Round: 20000 Training Error: 61.402950286865234 Validation Error: 111.15922546386719 Test Error: 92.85905456542969
3 4 0.01 20000 0.4 ['dw', 'fridge', 'dr', 'hvac', 'mw']
Round: 500 Training Error: 78.30984497070312 Validation Error: 113.24320220947266 Test Error: 98.47710418701172
Round: 1000 Training Error: 65.90901184082031 Validation Error: 101.61408996582031 Test Error: 89.87501525878906
Round: 1500 Training Error: 65.25375366210938 Validation Error: 101.15419006347656 Test Error: 89.14959716796875
Round: 2000 Training Error: 61.95881271362305 Validation Error: 100.25115966796875 Test Error: 88.50934600830078
Round: 2500 Training Error: 61.28916549682617 Validation Error: 100.00725555419922 Test Error: 88.29154968261719
Round: 3000 Training Error: 63.81584930419922 Validation Error: 100.46245574951172 Test Error: 88.68572235107422
Round: 3500 Training Error: 63.37982940673828 Validation Error: 100.31396484375 Test Error: 88.06135559082031
Round: 4000 Training Error: 63.49700164794922 Validation Error: 99.72764587402344 Test Error: 87.45808410644531
Round: 4500 Training Error: 63.16020584106445 Validation Error: 99.87307739257812 Test Error: 88.05945587158203
Round: 5000 Training Error: 60.98371887207031 Validation Error: 101.32754516601562 Test Error: 88.39783477783203
Round: 5500 Training Error: 62.66204833984375 Validation Error: 100.61189270019531 Test Error: 88.29755401611328
Round: 6000 Training Error: 62.77724075317383 Validation Error: 100.3128890991211 Test Error: 88.29723358154297
Round: 6500 Training Error: 62.70511245727539 Validation Error: 100.34974670410156 Test Error: 88.37062072753906
Round: 7000 Training Error: 62.363834381103516 Validation Error: 100.00279998779297 Test Error: 88.4443588256836
Round: 7500 Training Error: 62.688846588134766 Validation Error: 101.11285400390625 Test Error: 88.97407531738281
Round: 8000 Training Error: 62.425899505615234 Validation Error: 101.1711196899414 Test Error: 88.41554260253906
Round: 8500 Training Error: 59.776493072509766 Validation Error: 101.14260864257812 Test Error: 88.5054702758789
Round: 9000 Training Error: 62.36004638671875 Validation Error: 101.1526870727539 Test Error: 88.36460876464844
