1 3 0.01 20000 0.0 ['fridge', 'dw', 'mw', 'hvac', 'dr']
Round: 500 Training Error: 59.844791412353516 Validation Error: 90.3667984008789 Test Error: 85.82011413574219
Round: 1000 Training Error: 41.0031623840332 Validation Error: 84.4180679321289 Test Error: 74.0199203491211
Round: 1500 Training Error: 37.225399017333984 Validation Error: 82.94811248779297 Test Error: 77.06714630126953
Round: 2000 Training Error: 37.077491760253906 Validation Error: 80.7440185546875 Test Error: 76.845458984375
Round: 2500 Training Error: 36.03925704956055 Validation Error: 81.68067169189453 Test Error: 75.46205139160156
Round: 3000 Training Error: 35.61530303955078 Validation Error: 80.69611358642578 Test Error: 76.24637603759766
Round: 3500 Training Error: 35.43850326538086 Validation Error: 79.22323608398438 Test Error: 74.2074966430664
Round: 4000 Training Error: 34.93194580078125 Validation Error: 79.74803161621094 Test Error: 74.55142211914062
Round: 4500 Training Error: 34.37398910522461 Validation Error: 80.29804229736328 Test Error: 76.33387756347656
Round: 5000 Training Error: 35.359737396240234 Validation Error: 80.62336730957031 Test Error: 75.99263763427734
Round: 5500 Training Error: 34.5014762878418 Validation Error: 79.77424621582031 Test Error: 75.40630340576172
Round: 6000 Training Error: 33.95388412475586 Validation Error: 82.39265441894531 Test Error: 77.60960388183594
Round: 6500 Training Error: 33.480838775634766 Validation Error: 83.4771499633789 Test Error: 77.88944244384766
Round: 7000 Training Error: 33.293739318847656 Validation Error: 83.69828796386719 Test Error: 77.69304656982422
Round: 7500 Training Error: 33.345855712890625 Validation Error: 84.55261993408203 Test Error: 77.4003677368164
Round: 8000 Training Error: 33.45725631713867 Validation Error: 83.50659942626953 Test Error: 76.51602172851562
Round: 8500 Training Error: 33.18558120727539 Validation Error: 85.36289978027344 Test Error: 78.84198760986328
Round: 9000 Training Error: 33.24348068237305 Validation Error: 81.91239929199219 Test Error: 77.52335357666016
Round: 9500 Training Error: 33.16232681274414 Validation Error: 84.8348617553711 Test Error: 78.31812286376953
Round: 10000 Training Error: 34.39979553222656 Validation Error: 82.81290435791016 Test Error: 77.30140686035156
Round: 10500 Training Error: 33.43064880371094 Validation Error: 84.52401733398438 Test Error: 78.6802978515625
Round: 11000 Training Error: 33.19994354248047 Validation Error: 87.07603454589844 Test Error: 81.28657531738281
Round: 11500 Training Error: 34.14834213256836 Validation Error: 82.2205810546875 Test Error: 78.34719848632812
Round: 12000 Training Error: 32.945777893066406 Validation Error: 86.62407684326172 Test Error: 80.78327178955078
Round: 12500 Training Error: 32.73357391357422 Validation Error: 87.74861907958984 Test Error: 81.93022155761719
Round: 13000 Training Error: 32.52422332763672 Validation Error: 87.5108413696289 Test Error: 81.86376190185547
Round: 13500 Training Error: 32.558589935302734 Validation Error: 87.59764862060547 Test Error: 82.78836059570312
Round: 14000 Training Error: 33.40813446044922 Validation Error: 83.41026306152344 Test Error: 77.92678833007812
Round: 14500 Training Error: 32.556251525878906 Validation Error: 88.002685546875 Test Error: 83.14130401611328
Round: 15000 Training Error: 32.50484085083008 Validation Error: 87.80229187011719 Test Error: 83.12207794189453
Round: 15500 Training Error: 32.45323181152344 Validation Error: 88.20443725585938 Test Error: 83.42774200439453
Round: 16000 Training Error: 33.119285583496094 Validation Error: 87.83892059326172 Test Error: 81.99174499511719
Round: 16500 Training Error: 32.59395980834961 Validation Error: 89.32831573486328 Test Error: 85.42300415039062
Round: 17000 Training Error: 32.59847640991211 Validation Error: 88.70755767822266 Test Error: 85.25653839111328
Round: 17500 Training Error: 33.036338806152344 Validation Error: 87.759765625 Test Error: 84.91597747802734
Round: 18000 Training Error: 34.67566680908203 Validation Error: 82.02914428710938 Test Error: 77.92842864990234
Round: 18500 Training Error: 32.2055549621582 Validation Error: 90.3243637084961 Test Error: 87.5847396850586
Round: 19000 Training Error: 32.08064270019531 Validation Error: 90.54247283935547 Test Error: 88.4454574584961
Round: 19500 Training Error: 32.72075271606445 Validation Error: 89.49436950683594 Test Error: 85.93783569335938
Round: 20000 Training Error: 32.72283172607422 Validation Error: 87.67101287841797 Test Error: 84.79168701171875
