nohup: ignoring input
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'fridge', 'dr', 'dw', 'mw']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'fridge', 'dr', 'mw', 'dw']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'fridge', 'dw', 'dr', 'mw']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'fridge', 'dw', 'mw', 'dr']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'fridge', 'mw', 'dr', 'dw']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'fridge', 'mw', 'dw', 'dr']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'dr', 'fridge', 'dw', 'mw']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'dr', 'fridge', 'mw', 'dw']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'dr', 'dw', 'fridge', 'mw']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'dr', 'dw', 'mw', 'fridge']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'dr', 'mw', 'fridge', 'dw']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'dr', 'mw', 'dw', 'fridge']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'dw', 'fridge', 'dr', 'mw']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'dw', 'fridge', 'mw', 'dr']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'dw', 'dr', 'fridge', 'mw']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'dw', 'dr', 'mw', 'fridge']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'dw', 'mw', 'fridge', 'dr']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'dw', 'mw', 'dr', 'fridge']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'mw', 'fridge', 'dr', 'dw']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'mw', 'fridge', 'dw', 'dr']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'mw', 'dr', 'fridge', 'dw']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'mw', 'dr', 'dw', 'fridge']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'mw', 'dw', 'fridge', 'dr']
2 3 RNN 100 3 0.001 3000 0.0 ['hvac', 'mw', 'dw', 'dr', 'fridge']
2 3 RNN 100 3 0.001 3000 0.0 ['fridge', 'hvac', 'dr', 'dw', 'mw']
2 3 RNN 100 3 0.001 3000 0.0 ['fridge', 'hvac', 'dr', 'mw', 'dw']
2 3 RNN 100 3 0.001 3000 0.0 ['fridge', 'hvac', 'dw', 'dr', 'mw']
2 3 RNN 100 3 0.001 3000 0.0 ['fridge', 'hvac', 'dw', 'mw', 'dr']
2 3 RNN 100 3 0.001 3000 0.0 ['fridge', 'hvac', 'mw', 'dr', 'dw']
2 3 RNN 100 3 0.001 3000 0.0 ['fridge', 'hvac', 'mw', 'dw', 'dr']
2 3 RNN 100 3 0.001 3000 0.0 ['fridge', 'dr', 'hvac', 'dw', 'mw']
2 3 RNN 100 3 0.001 3000 0.0 ['fridge', 'dr', 'hvac', 'mw', 'dw']
2 3 RNN 100 3 0.001 3000 0.0 ['fridge', 'dr', 'dw', 'hvac', 'mw']
2 3 RNN 100 3 0.001 3000 0.0 ['fridge', 'dr', 'dw', 'mw', 'hvac']
2 3 RNN 100 3 0.001 3000 0.0 ['fridge', 'dr', 'mw', 'hvac', 'dw']
2 3 RNN 100 3 0.001 3000 0.0 ['fridge', 'dr', 'mw', 'dw', 'hvac']
2 3 RNN 100 3 0.001 3000 0.0 ['fridge', 'dw', 'hvac', 'dr', 'mw']
2 3 RNN 100 3 0.001 3000 0.0 ['fridge', 'dw', 'hvac', 'mw', 'dr']
2 3 RNN 100 3 0.001 3000 0.0 ['fridge', 'dw', 'dr', 'hvac', 'mw']
2 3 RNN 100 3 0.001 3000 0.0 ['fridge', 'dw', 'dr', 'mw', 'hvac']
