nohup: ignoring input
5 0 0.01 20000 0.8 ['dr', 'dw', 'residual', 'mw', 'hvac', 'fridge']
Round: 11500 Training Error: 109.55823516845703 Validation Error: 164.775390625 Test Error: 143.00811767578125
Round: 12000 Training Error: 108.34310150146484 Validation Error: 158.54469299316406 Test Error: 144.28707885742188
Round: 12500 Training Error: 166.4865264892578 Validation Error: 156.50965881347656 Test Error: 138.99778747558594
Round: 13000 Training Error: 169.47152709960938 Validation Error: 152.1151123046875 Test Error: 134.9471435546875
Round: 13500 Training Error: 107.85309600830078 Validation Error: 162.84719848632812 Test Error: 144.49192810058594
Round: 14000 Training Error: 110.50579071044922 Validation Error: 154.3995819091797 Test Error: 137.031494140625
Round: 14500 Training Error: 164.823486328125 Validation Error: 156.07839965820312 Test Error: 138.6366729736328
Round: 15000 Training Error: 165.09197998046875 Validation Error: 158.04873657226562 Test Error: 139.7726287841797
Round: 15500 Training Error: 107.44032287597656 Validation Error: 158.1326904296875 Test Error: 138.002197265625
Round: 16000 Training Error: 107.8746337890625 Validation Error: 156.70159912109375 Test Error: 143.67405700683594
Round: 16500 Training Error: 113.85400390625 Validation Error: 142.74375915527344 Test Error: 134.33189392089844
Round: 17000 Training Error: 117.49662017822266 Validation Error: 145.3268585205078 Test Error: 130.3663330078125
Round: 17500 Training Error: 107.66829681396484 Validation Error: 156.1509552001953 Test Error: 139.08163452148438
Round: 18000 Training Error: 107.020751953125 Validation Error: 159.11676025390625 Test Error: 141.36705017089844
Round: 18500 Training Error: 111.04060363769531 Validation Error: 156.04916381835938 Test Error: 138.2562255859375
Round: 19000 Training Error: 163.9897918701172 Validation Error: 157.91555786132812 Test Error: 143.83074951171875
Round: 19500 Training Error: 165.8789825439453 Validation Error: 161.24319458007812 Test Error: 146.00436401367188
Round: 20000 Training Error: 106.59807586669922 Validation Error: 150.2503662109375 Test Error: 139.1094207763672
5 0 0.01 20000 0.4 ['dr', 'dw', 'residual', 'mw', 'fridge', 'hvac']
Round: 500 Training Error: 161.6686553955078 Validation Error: 173.5709686279297 Test Error: 143.4712677001953
Round: 1000 Training Error: 183.7790985107422 Validation Error: 164.65943908691406 Test Error: 138.36911010742188
Round: 1500 Training Error: 138.07167053222656 Validation Error: 165.0001678466797 Test Error: 136.3755340576172
Round: 2000 Training Error: 171.91197204589844 Validation Error: 167.82931518554688 Test Error: 134.58534240722656
Round: 2500 Training Error: 169.7423553466797 Validation Error: 185.1537322998047 Test Error: 142.528564453125
Round: 3000 Training Error: 124.91411590576172 Validation Error: 176.3838653564453 Test Error: 140.65695190429688
Round: 3500 Training Error: 129.4961395263672 Validation Error: 165.75 Test Error: 147.9324188232422
Round: 4000 Training Error: 124.27322387695312 Validation Error: 153.6968231201172 Test Error: 134.21966552734375
Round: 4500 Training Error: 119.10834503173828 Validation Error: 169.9917755126953 Test Error: 141.46426391601562
Round: 5000 Training Error: 166.35263061523438 Validation Error: 178.82244873046875 Test Error: 145.41146850585938
Round: 5500 Training Error: 116.33818054199219 Validation Error: 177.71621704101562 Test Error: 141.55328369140625
Round: 6000 Training Error: 120.52629089355469 Validation Error: 165.58599853515625 Test Error: 133.33900451660156
Round: 6500 Training Error: 116.87110900878906 Validation Error: 181.1106719970703 Test Error: 140.0950164794922
Round: 7000 Training Error: 115.32210540771484 Validation Error: 163.80934143066406 Test Error: 138.85108947753906
Round: 7500 Training Error: 114.78368377685547 Validation Error: 172.0188751220703 Test Error: 142.82691955566406
Round: 8000 Training Error: 114.75116729736328 Validation Error: 150.39305114746094 Test Error: 133.74237060546875
Round: 8500 Training Error: 160.59539794921875 Validation Error: 168.56600952148438 Test Error: 139.975341796875
Round: 9000 Training Error: 114.18571472167969 Validation Error: 166.2130126953125 Test Error: 141.57745361328125
Round: 9500 Training Error: 113.57926177978516 Validation Error: 178.1860809326172 Test Error: 156.6676025390625
Round: 10000 Training Error: 161.25271606445312 Validation Error: 162.19329833984375 Test Error: 134.2808837890625
Round: 10500 Training Error: 159.34439086914062 Validation Error: 174.82913208007812 Test Error: 149.1305389404297
Round: 11000 Training Error: 159.45355224609375 Validation Error: 166.87281799316406 Test Error: 140.84268188476562
Round: 11500 Training Error: 112.18335723876953 Validation Error: 166.58135986328125 Test Error: 143.16790771484375
Round: 12000 Training Error: 113.06090545654297 Validation Error: 180.50440979003906 Test Error: 147.93548583984375
Round: 12500 Training Error: 159.58181762695312 Validation Error: 174.002197265625 Test Error: 145.44671630859375
Round: 13000 Training Error: 159.9505157470703 Validation Error: 169.07406616210938 Test Error: 143.95106506347656
Round: 13500 Training Error: 111.81004333496094 Validation Error: 163.8437042236328 Test Error: 151.26097106933594
Round: 14000 Training Error: 158.4552001953125 Validation Error: 166.4733428955078 Test Error: 143.1300811767578
Round: 14500 Training Error: 157.42665100097656 Validation Error: 173.05824279785156 Test Error: 147.6628875732422
