nohup: ignoring input
5 2 0.01 20000 0.8 ['dw', 'mw', 'residual', 'dr', 'fridge', 'hvac']
Round: 500 Training Error: 166.71487426757812 Validation Error: 171.0320587158203 Test Error: 180.1379852294922
Round: 1000 Training Error: 155.91641235351562 Validation Error: 168.48155212402344 Test Error: 175.28070068359375
Round: 1500 Training Error: 148.68992614746094 Validation Error: 159.06216430664062 Test Error: 169.6219482421875
Round: 2000 Training Error: 145.98422241210938 Validation Error: 167.43226623535156 Test Error: 168.6124267578125
Round: 2500 Training Error: 145.06478881835938 Validation Error: 164.7369384765625 Test Error: 172.03082275390625
Round: 3000 Training Error: 145.48126220703125 Validation Error: 160.83543395996094 Test Error: 166.62387084960938
Round: 3500 Training Error: 143.45437622070312 Validation Error: 160.70042419433594 Test Error: 172.14451599121094
Round: 4000 Training Error: 129.23379516601562 Validation Error: 167.95001220703125 Test Error: 170.17994689941406
Round: 4500 Training Error: 140.16375732421875 Validation Error: 168.908447265625 Test Error: 171.41506958007812
Round: 5000 Training Error: 140.3744354248047 Validation Error: 174.6340789794922 Test Error: 172.10902404785156
Round: 5500 Training Error: 139.6768035888672 Validation Error: 164.6279296875 Test Error: 169.8923797607422
Round: 6000 Training Error: 140.30093383789062 Validation Error: 155.20114135742188 Test Error: 171.75433349609375
Round: 6500 Training Error: 138.20863342285156 Validation Error: 169.8995361328125 Test Error: 171.61923217773438
Round: 7000 Training Error: 140.96788024902344 Validation Error: 159.6446990966797 Test Error: 171.276611328125
Round: 7500 Training Error: 124.45640563964844 Validation Error: 163.14967346191406 Test Error: 170.0929718017578
Round: 8000 Training Error: 139.18699645996094 Validation Error: 160.27549743652344 Test Error: 168.41041564941406
Round: 8500 Training Error: 137.18023681640625 Validation Error: 165.53811645507812 Test Error: 169.72515869140625
Round: 9000 Training Error: 140.83197021484375 Validation Error: 157.937744140625 Test Error: 162.74497985839844
Round: 9500 Training Error: 123.44436645507812 Validation Error: 168.8431396484375 Test Error: 170.01702880859375
Round: 10000 Training Error: 137.39828491210938 Validation Error: 159.53343200683594 Test Error: 165.1187744140625
Round: 10500 Training Error: 136.31594848632812 Validation Error: 162.31336975097656 Test Error: 166.66067504882812
Round: 11000 Training Error: 138.19947814941406 Validation Error: 167.8365478515625 Test Error: 168.1735076904297
Round: 11500 Training Error: 139.4190216064453 Validation Error: 157.35516357421875 Test Error: 167.80984497070312
Round: 12000 Training Error: 137.781982421875 Validation Error: 167.43515014648438 Test Error: 168.9558868408203
Round: 12500 Training Error: 135.22854614257812 Validation Error: 166.93408203125 Test Error: 166.02163696289062
Round: 13000 Training Error: 138.82131958007812 Validation Error: 156.06883239746094 Test Error: 167.12193298339844
Round: 13500 Training Error: 134.72308349609375 Validation Error: 164.85166931152344 Test Error: 164.46966552734375
Round: 14000 Training Error: 136.17062377929688 Validation Error: 157.75628662109375 Test Error: 166.8050537109375
Round: 14500 Training Error: 134.33786010742188 Validation Error: 161.88365173339844 Test Error: 163.95997619628906
Round: 15000 Training Error: 133.312744140625 Validation Error: 160.5413818359375 Test Error: 164.90625
Round: 15500 Training Error: 115.34232330322266 Validation Error: 152.17770385742188 Test Error: 161.59580993652344
Round: 16000 Training Error: 134.4921875 Validation Error: 156.61582946777344 Test Error: 161.81781005859375
Round: 16500 Training Error: 116.91260528564453 Validation Error: 154.57089233398438 Test Error: 162.66119384765625
Round: 17000 Training Error: 134.11155700683594 Validation Error: 155.74224853515625 Test Error: 165.40391540527344
Round: 17500 Training Error: 114.27993774414062 Validation Error: 155.33755493164062 Test Error: 161.41700744628906
Round: 18000 Training Error: 132.56272888183594 Validation Error: 158.93678283691406 Test Error: 161.45419311523438
Round: 18500 Training Error: 133.9127960205078 Validation Error: 152.77442932128906 Test Error: 160.3242645263672
Round: 19000 Training Error: 133.26211547851562 Validation Error: 156.4973907470703 Test Error: 162.69630432128906
Round: 19500 Training Error: 133.06907653808594 Validation Error: 155.45993041992188 Test Error: 159.78829956054688
Round: 20000 Training Error: 133.9517822265625 Validation Error: 155.3158416748047 Test Error: 161.1588134765625
