nohup: ignoring input
3 3 0.01 20000 0.0 ['hvac', 'fridge', 'dr', 'dw', 'mw']
Round: 500 Training Error: 76.16580200195312 Validation Error: 102.2679214477539 Test Error: 109.27621459960938
Round: 1000 Training Error: 66.96073913574219 Validation Error: 96.81399536132812 Test Error: 102.19646453857422
Round: 1500 Training Error: 64.62736511230469 Validation Error: 97.2658462524414 Test Error: 101.35992431640625
Round: 2000 Training Error: 63.67919921875 Validation Error: 97.978515625 Test Error: 101.36998748779297
Round: 2500 Training Error: 63.37295150756836 Validation Error: 97.74156188964844 Test Error: 101.36975860595703
Round: 3000 Training Error: 62.89973068237305 Validation Error: 98.7204360961914 Test Error: 102.44290161132812
Round: 3500 Training Error: 62.738563537597656 Validation Error: 98.69374084472656 Test Error: 102.5912857055664
Round: 4000 Training Error: 62.28864288330078 Validation Error: 98.45152282714844 Test Error: 102.02555847167969
Round: 4500 Training Error: 62.0949821472168 Validation Error: 98.37554931640625 Test Error: 101.73915100097656
Round: 5000 Training Error: 61.97748947143555 Validation Error: 98.65149688720703 Test Error: 102.50276947021484
Round: 5500 Training Error: 61.83964920043945 Validation Error: 98.23749542236328 Test Error: 102.16805267333984
Round: 6000 Training Error: 62.053375244140625 Validation Error: 97.59156036376953 Test Error: 100.9700927734375
Round: 6500 Training Error: 61.600242614746094 Validation Error: 98.1186752319336 Test Error: 101.75723266601562
Round: 7000 Training Error: 61.44805908203125 Validation Error: 98.23738861083984 Test Error: 102.806640625
Round: 7500 Training Error: 61.60332107543945 Validation Error: 97.56451416015625 Test Error: 102.44364929199219
Round: 8000 Training Error: 61.36152648925781 Validation Error: 97.66612243652344 Test Error: 102.33697509765625
Round: 8500 Training Error: 61.182804107666016 Validation Error: 98.10222625732422 Test Error: 103.29488372802734
Round: 9000 Training Error: 61.011051177978516 Validation Error: 97.3465805053711 Test Error: 102.36848449707031
Round: 9500 Training Error: 61.14913558959961 Validation Error: 97.69901275634766 Test Error: 102.79728698730469
Round: 10000 Training Error: 60.999027252197266 Validation Error: 97.0699462890625 Test Error: 102.6387939453125
Round: 10500 Training Error: 60.70526123046875 Validation Error: 97.2017822265625 Test Error: 102.2001953125
Round: 11000 Training Error: 60.72098159790039 Validation Error: 97.39505004882812 Test Error: 103.03070831298828
Round: 11500 Training Error: 60.416221618652344 Validation Error: 97.2603759765625 Test Error: 103.11064910888672
Round: 12000 Training Error: 61.006229400634766 Validation Error: 96.89797973632812 Test Error: 102.23336791992188
Round: 12500 Training Error: 61.69550323486328 Validation Error: 96.68517303466797 Test Error: 102.81578826904297
Round: 13000 Training Error: 60.397518157958984 Validation Error: 97.42854309082031 Test Error: 103.25128173828125
Round: 13500 Training Error: 60.656829833984375 Validation Error: 97.30866241455078 Test Error: 103.0995101928711
Round: 14000 Training Error: 60.487857818603516 Validation Error: 97.6506118774414 Test Error: 103.36479949951172
Round: 14500 Training Error: 60.27083206176758 Validation Error: 97.60381317138672 Test Error: 103.27154541015625
Round: 15000 Training Error: 60.12858581542969 Validation Error: 97.60309600830078 Test Error: 102.91975402832031
Round: 15500 Training Error: 60.386871337890625 Validation Error: 97.50289916992188 Test Error: 103.08641052246094
Round: 16000 Training Error: 60.35059356689453 Validation Error: 97.51657104492188 Test Error: 102.60686492919922
Round: 16500 Training Error: 62.587581634521484 Validation Error: 96.41814422607422 Test Error: 102.88134002685547
Round: 17000 Training Error: 60.43243408203125 Validation Error: 97.83554077148438 Test Error: 103.64336395263672
Round: 17500 Training Error: 60.0201301574707 Validation Error: 97.7674560546875 Test Error: 102.99918365478516
Round: 18000 Training Error: 61.240875244140625 Validation Error: 96.07799530029297 Test Error: 102.09468078613281
Round: 18500 Training Error: 60.32417297363281 Validation Error: 97.49132537841797 Test Error: 102.78722381591797
Round: 19000 Training Error: 60.07524871826172 Validation Error: 97.4776382446289 Test Error: 103.27008056640625
Round: 19500 Training Error: 60.022274017333984 Validation Error: 97.41302490234375 Test Error: 102.8908462524414
Round: 20000 Training Error: 60.133975982666016 Validation Error: 97.08356475830078 Test Error: 102.85337829589844
3 3 0.01 20000 0.0 ['hvac', 'fridge', 'dr', 'mw', 'dw']
Round: 500 Training Error: 76.23160552978516 Validation Error: 102.17444610595703 Test Error: 109.82613372802734
Round: 1000 Training Error: 69.47554779052734 Validation Error: 101.25806427001953 Test Error: 105.0428466796875
Round: 1500 Training Error: 64.8779525756836 Validation Error: 101.26997375488281 Test Error: 103.5431900024414
Round: 2000 Training Error: 63.74767303466797 Validation Error: 101.26947021484375 Test Error: 103.36978912353516
Round: 2500 Training Error: 62.90435028076172 Validation Error: 101.5090560913086 Test Error: 103.54046630859375
Round: 3000 Training Error: 62.472373962402344 Validation Error: 100.89810943603516 Test Error: 102.707763671875
Round: 3500 Training Error: 62.440799713134766 Validation Error: 100.46929931640625 Test Error: 102.5675048828125
Round: 4000 Training Error: 61.98103332519531 Validation Error: 100.95550537109375 Test Error: 103.48469543457031
Round: 4500 Training Error: 61.58818435668945 Validation Error: 99.96617126464844 Test Error: 102.30050659179688
Round: 5000 Training Error: 61.57270050048828 Validation Error: 100.2314682006836 Test Error: 102.55176544189453
Round: 5500 Training Error: 61.20351028442383 Validation Error: 100.54818725585938 Test Error: 102.7798080444336
Round: 6000 Training Error: 61.63323974609375 Validation Error: 99.97335815429688 Test Error: 102.99212646484375
Round: 6500 Training Error: 61.0208740234375 Validation Error: 100.105224609375 Test Error: 102.5380859375
Round: 7000 Training Error: 61.139068603515625 Validation Error: 101.08646392822266 Test Error: 103.2347183227539
Round: 7500 Training Error: 61.11438751220703 Validation Error: 99.76110076904297 Test Error: 102.22618103027344
Round: 8000 Training Error: 60.827091217041016 Validation Error: 100.65013885498047 Test Error: 102.91801452636719
Round: 8500 Training Error: 60.79026794433594 Validation Error: 100.16911315917969 Test Error: 102.53506469726562
Round: 9000 Training Error: 60.62516403198242 Validation Error: 100.02547454833984 Test Error: 102.26065826416016
Round: 9500 Training Error: 61.03876495361328 Validation Error: 99.07344818115234 Test Error: 101.5618896484375
