nohup: ignoring input
3 3 0.1 20000 0.0 ['hvac', 'fridge', 'dr', 'dw', 'mw']
Round: 500 Training Error: 68.82117462158203 Validation Error: 93.18370819091797 Test Error: 101.69065856933594
Round: 1000 Training Error: 65.87913513183594 Validation Error: 91.00726318359375 Test Error: 100.32746124267578
Round: 1500 Training Error: 65.03609466552734 Validation Error: 90.7117919921875 Test Error: 100.49357604980469
Round: 2000 Training Error: 64.72671508789062 Validation Error: 90.52912902832031 Test Error: 99.95986938476562
Round: 2500 Training Error: 64.72151184082031 Validation Error: 90.9730453491211 Test Error: 101.4186782836914
Round: 3000 Training Error: 64.2248764038086 Validation Error: 89.59432983398438 Test Error: 100.0250015258789
Round: 3500 Training Error: 64.10697174072266 Validation Error: 89.69328308105469 Test Error: 100.12934112548828
Round: 4000 Training Error: 64.39022064208984 Validation Error: 89.10498809814453 Test Error: 99.05902862548828
Round: 4500 Training Error: 63.57756423950195 Validation Error: 89.76819610595703 Test Error: 100.05296325683594
Round: 5000 Training Error: 63.460472106933594 Validation Error: 90.09912872314453 Test Error: 100.7511215209961
Round: 5500 Training Error: 63.2037353515625 Validation Error: 90.046630859375 Test Error: 100.82951354980469
Round: 6000 Training Error: 63.220516204833984 Validation Error: 89.35039520263672 Test Error: 100.03113555908203
Round: 6500 Training Error: 63.24335861206055 Validation Error: 89.31104278564453 Test Error: 100.3520736694336
Round: 7000 Training Error: 63.06772994995117 Validation Error: 88.77609252929688 Test Error: 99.77848052978516
Round: 7500 Training Error: 62.852394104003906 Validation Error: 89.29615020751953 Test Error: 100.32305145263672
Round: 8000 Training Error: 62.85014343261719 Validation Error: 91.54315948486328 Test Error: 101.2823715209961
Round: 8500 Training Error: 62.50031661987305 Validation Error: 92.41315460205078 Test Error: 101.61991882324219
Round: 9000 Training Error: 62.417762756347656 Validation Error: 91.5755615234375 Test Error: 100.22394561767578
Round: 9500 Training Error: 62.2308235168457 Validation Error: 91.77659606933594 Test Error: 100.4920654296875
Round: 10000 Training Error: 62.38824462890625 Validation Error: 91.24102020263672 Test Error: 99.72767639160156
Round: 10500 Training Error: 62.54735565185547 Validation Error: 91.99833679199219 Test Error: 100.33734893798828
Round: 11000 Training Error: 62.09429931640625 Validation Error: 91.47122192382812 Test Error: 100.01409912109375
Round: 11500 Training Error: 61.78755569458008 Validation Error: 91.94142150878906 Test Error: 100.56977844238281
Round: 12000 Training Error: 62.055458068847656 Validation Error: 90.70332336425781 Test Error: 99.64368438720703
Round: 12500 Training Error: 61.816829681396484 Validation Error: 91.5025405883789 Test Error: 100.8480453491211
Round: 13000 Training Error: 61.910072326660156 Validation Error: 90.91737365722656 Test Error: 100.21644592285156
Round: 13500 Training Error: 61.501644134521484 Validation Error: 91.71939849853516 Test Error: 100.6130142211914
Round: 14000 Training Error: 61.74988555908203 Validation Error: 90.84629821777344 Test Error: 99.8397445678711
Round: 14500 Training Error: 61.62946319580078 Validation Error: 92.13946533203125 Test Error: 100.91707611083984
