nohup: ignoring input
5 3 0.01 20000 0.8 ['dr', 'mw', 'dw', 'fridge', 'residual', 'hvac']
Round: 500 Training Error: 154.6661376953125 Validation Error: 167.82801818847656 Test Error: 200.39471435546875
Round: 1000 Training Error: 145.87196350097656 Validation Error: 163.86375427246094 Test Error: 196.93450927734375
Round: 1500 Training Error: 141.13232421875 Validation Error: 158.54183959960938 Test Error: 192.5693359375
Round: 2000 Training Error: 136.662109375 Validation Error: 156.89854431152344 Test Error: 191.1665496826172
Round: 2500 Training Error: 136.755859375 Validation Error: 155.5367431640625 Test Error: 189.85096740722656
Round: 3000 Training Error: 136.09033203125 Validation Error: 154.9286346435547 Test Error: 188.26625061035156
Round: 3500 Training Error: 135.1277618408203 Validation Error: 155.67556762695312 Test Error: 187.51927185058594
Round: 4000 Training Error: 121.15753173828125 Validation Error: 160.63470458984375 Test Error: 190.38568115234375
Round: 4500 Training Error: 132.94430541992188 Validation Error: 156.0518798828125 Test Error: 188.04122924804688
Round: 5000 Training Error: 132.2154083251953 Validation Error: 152.81080627441406 Test Error: 190.103759765625
Round: 5500 Training Error: 132.77001953125 Validation Error: 152.0230255126953 Test Error: 188.6996307373047
Round: 6000 Training Error: 132.55841064453125 Validation Error: 153.59664916992188 Test Error: 185.57522583007812
Round: 6500 Training Error: 130.6843719482422 Validation Error: 154.47630310058594 Test Error: 190.17007446289062
Round: 7000 Training Error: 133.64242553710938 Validation Error: 151.15757751464844 Test Error: 186.27597045898438
Round: 7500 Training Error: 116.32465362548828 Validation Error: 153.79087829589844 Test Error: 186.30654907226562
Round: 8000 Training Error: 130.82078552246094 Validation Error: 151.94479370117188 Test Error: 184.701171875
Round: 8500 Training Error: 130.25167846679688 Validation Error: 153.6450653076172 Test Error: 186.08824157714844
Round: 9000 Training Error: 131.817138671875 Validation Error: 149.0092010498047 Test Error: 184.5106964111328
Round: 9500 Training Error: 116.75247955322266 Validation Error: 151.79306030273438 Test Error: 186.79893493652344
Round: 10000 Training Error: 130.86033630371094 Validation Error: 151.23397827148438 Test Error: 184.99876403808594
Round: 10500 Training Error: 130.02259826660156 Validation Error: 151.5706787109375 Test Error: 184.8856658935547
Round: 11000 Training Error: 131.4981231689453 Validation Error: 154.44650268554688 Test Error: 185.77700805664062
Round: 11500 Training Error: 132.7119903564453 Validation Error: 152.20579528808594 Test Error: 183.52088928222656
Round: 12000 Training Error: 130.89859008789062 Validation Error: 149.74952697753906 Test Error: 182.60023498535156
Round: 12500 Training Error: 128.37583923339844 Validation Error: 151.336669921875 Test Error: 186.1786346435547
Round: 13000 Training Error: 128.7897186279297 Validation Error: 148.9174346923828 Test Error: 184.695556640625
Round: 13500 Training Error: 128.08839416503906 Validation Error: 148.2365264892578 Test Error: 184.6846160888672
Round: 14000 Training Error: 128.64877319335938 Validation Error: 146.61129760742188 Test Error: 183.2569580078125
Round: 14500 Training Error: 127.80728149414062 Validation Error: 146.10006713867188 Test Error: 184.1854705810547
Round: 15000 Training Error: 128.6400909423828 Validation Error: 147.9298095703125 Test Error: 185.7838134765625
Round: 15500 Training Error: 109.80706787109375 Validation Error: 145.45849609375 Test Error: 182.42669677734375
Round: 16000 Training Error: 128.47813415527344 Validation Error: 148.8864288330078 Test Error: 183.2274627685547
Round: 16500 Training Error: 108.66401672363281 Validation Error: 147.01858520507812 Test Error: 182.8950958251953
Round: 17000 Training Error: 127.49055480957031 Validation Error: 146.77044677734375 Test Error: 182.23922729492188
Round: 17500 Training Error: 111.15035247802734 Validation Error: 148.34156799316406 Test Error: 184.69984436035156
Round: 18000 Training Error: 126.73014831542969 Validation Error: 147.18777465820312 Test Error: 183.79444885253906
Round: 18500 Training Error: 127.75344848632812 Validation Error: 144.9086456298828 Test Error: 181.2163848876953
Round: 19000 Training Error: 128.2395477294922 Validation Error: 147.1678009033203 Test Error: 183.02467346191406
Round: 19500 Training Error: 126.75989532470703 Validation Error: 145.6439208984375 Test Error: 182.4371795654297
Round: 20000 Training Error: 127.45486450195312 Validation Error: 145.7870330810547 Test Error: 182.07327270507812
5 3 0.01 20000 0.2 ['dr', 'mw', 'dw', 'residual', 'hvac', 'fridge']
Round: 500 Training Error: 133.25355529785156 Validation Error: 156.33026123046875 Test Error: 189.76602172851562
Round: 1000 Training Error: 161.62408447265625 Validation Error: 151.48284912109375 Test Error: 185.4285125732422
Round: 1500 Training Error: 112.99898529052734 Validation Error: 145.25148010253906 Test Error: 182.32456970214844
Round: 2000 Training Error: 107.450927734375 Validation Error: 142.48878479003906 Test Error: 179.079345703125
Round: 2500 Training Error: 105.10231018066406 Validation Error: 143.1193389892578 Test Error: 180.311767578125
Round: 3000 Training Error: 102.84628295898438 Validation Error: 141.4599609375 Test Error: 181.5050506591797
Round: 3500 Training Error: 103.75363159179688 Validation Error: 141.61366271972656 Test Error: 182.95201110839844
Round: 4000 Training Error: 102.55167388916016 Validation Error: 142.60853576660156 Test Error: 182.0542449951172
Round: 4500 Training Error: 100.34574890136719 Validation Error: 143.76370239257812 Test Error: 183.57403564453125
Round: 5000 Training Error: 101.79727172851562 Validation Error: 142.66758728027344 Test Error: 181.76068115234375
Round: 5500 Training Error: 100.60890197753906 Validation Error: 142.92138671875 Test Error: 182.03964233398438
Round: 6000 Training Error: 100.23177337646484 Validation Error: 145.09767150878906 Test Error: 179.98629760742188
Round: 6500 Training Error: 100.01444244384766 Validation Error: 142.8118896484375 Test Error: 180.0640106201172
Round: 7000 Training Error: 99.11249542236328 Validation Error: 142.5976104736328 Test Error: 179.60353088378906
Round: 7500 Training Error: 100.46280670166016 Validation Error: 141.79832458496094 Test Error: 180.01646423339844
Round: 8000 Training Error: 98.25471496582031 Validation Error: 143.84727478027344 Test Error: 180.50843811035156
Round: 8500 Training Error: 144.0460662841797 Validation Error: 143.97567749023438 Test Error: 181.98367309570312
Round: 9000 Training Error: 97.88514709472656 Validation Error: 143.10787963867188 Test Error: 179.59286499023438
Round: 9500 Training Error: 99.73870086669922 Validation Error: 145.67662048339844 Test Error: 179.6813201904297
Round: 10000 Training Error: 101.1233901977539 Validation Error: 142.6240692138672 Test Error: 178.7329559326172
Round: 10500 Training Error: 142.97988891601562 Validation Error: 142.3657684326172 Test Error: 177.50143432617188
Round: 11000 Training Error: 98.23676300048828 Validation Error: 141.34156799316406 Test Error: 176.456298828125
Round: 11500 Training Error: 98.19727325439453 Validation Error: 143.0548858642578 Test Error: 178.70616149902344
Round: 12000 Training Error: 97.43638610839844 Validation Error: 143.06739807128906 Test Error: 177.63063049316406
Round: 12500 Training Error: 141.6879119873047 Validation Error: 141.03546142578125 Test Error: 177.89288330078125
Round: 13000 Training Error: 143.97882080078125 Validation Error: 140.45468139648438 Test Error: 176.9080047607422
Round: 13500 Training Error: 96.06883239746094 Validation Error: 140.6497039794922 Test Error: 177.25379943847656
Round: 14000 Training Error: 97.1624984741211 Validation Error: 145.3273162841797 Test Error: 180.08575439453125
Round: 14500 Training Error: 140.97071838378906 Validation Error: 141.37973022460938 Test Error: 181.96058654785156
Round: 15000 Training Error: 141.26365661621094 Validation Error: 141.35183715820312 Test Error: 182.89895629882812
Round: 15500 Training Error: 96.20512390136719 Validation Error: 140.9860382080078 Test Error: 183.07803344726562
Round: 16000 Training Error: 95.36839294433594 Validation Error: 141.48826599121094 Test Error: 179.29421997070312
Round: 16500 Training Error: 98.81733703613281 Validation Error: 139.98080444335938 Test Error: 181.6590118408203
Round: 17000 Training Error: 98.09063720703125 Validation Error: 142.58108520507812 Test Error: 177.59848022460938
Round: 17500 Training Error: 95.96478271484375 Validation Error: 139.93019104003906 Test Error: 178.70079040527344
Round: 18000 Training Error: 96.89617919921875 Validation Error: 142.51808166503906 Test Error: 177.42030334472656
Round: 18500 Training Error: 96.59265899658203 Validation Error: 139.84390258789062 Test Error: 178.76092529296875
Round: 19000 Training Error: 140.6761932373047 Validation Error: 143.0693359375 Test Error: 178.21270751953125
Round: 19500 Training Error: 141.39389038085938 Validation Error: 142.88174438476562 Test Error: 178.0413055419922
Round: 20000 Training Error: 95.78521728515625 Validation Error: 139.46730041503906 Test Error: 178.02064514160156
5 3 0.01 20000 0.4 ['dr', 'mw', 'dw', 'residual', 'hvac', 'fridge']
Round: 500 Training Error: 135.69757080078125 Validation Error: 157.17514038085938 Test Error: 191.62493896484375
Round: 1000 Training Error: 155.4462432861328 Validation Error: 152.7852783203125 Test Error: 187.62588500976562
Round: 1500 Training Error: 124.09507751464844 Validation Error: 150.13758850097656 Test Error: 185.57273864746094
Round: 2000 Training Error: 148.0446014404297 Validation Error: 146.7694854736328 Test Error: 179.7202911376953
Round: 2500 Training Error: 145.43336486816406 Validation Error: 151.2066650390625 Test Error: 180.3507080078125
Round: 3000 Training Error: 106.70440673828125 Validation Error: 147.03538513183594 Test Error: 179.8104248046875
Round: 3500 Training Error: 107.59198760986328 Validation Error: 144.9978790283203 Test Error: 177.52825927734375
Round: 4000 Training Error: 105.76432800292969 Validation Error: 152.2254638671875 Test Error: 178.71339416503906
Round: 4500 Training Error: 103.92570495605469 Validation Error: 154.6272735595703 Test Error: 180.76522827148438
Round: 5000 Training Error: 140.83660888671875 Validation Error: 151.26339721679688 Test Error: 178.51602172851562
Round: 5500 Training Error: 101.91486358642578 Validation Error: 149.39671325683594 Test Error: 178.04855346679688
Round: 6000 Training Error: 103.87889099121094 Validation Error: 153.84341430664062 Test Error: 179.23828125
Round: 6500 Training Error: 101.1358642578125 Validation Error: 150.94473266601562 Test Error: 177.73341369628906
Round: 7000 Training Error: 100.07040405273438 Validation Error: 150.10711669921875 Test Error: 177.6992645263672
Round: 7500 Training Error: 100.85487365722656 Validation Error: 150.79808044433594 Test Error: 178.0625457763672
Round: 8000 Training Error: 100.8415756225586 Validation Error: 144.35841369628906 Test Error: 176.9627227783203
Round: 8500 Training Error: 138.47161865234375 Validation Error: 152.39129638671875 Test Error: 178.3609161376953
Round: 9000 Training Error: 100.11640167236328 Validation Error: 147.30245971679688 Test Error: 177.45640563964844
Round: 9500 Training Error: 99.18608093261719 Validation Error: 152.67578125 Test Error: 178.314453125
Round: 10000 Training Error: 137.58363342285156 Validation Error: 150.66749572753906 Test Error: 177.29510498046875
Round: 10500 Training Error: 137.94737243652344 Validation Error: 152.9581298828125 Test Error: 178.46031188964844
Round: 11000 Training Error: 137.10940551757812 Validation Error: 151.40501403808594 Test Error: 177.39222717285156
Round: 11500 Training Error: 99.10897827148438 Validation Error: 150.06422424316406 Test Error: 179.17250061035156
Round: 12000 Training Error: 100.51272583007812 Validation Error: 149.59373474121094 Test Error: 176.04629516601562
Round: 12500 Training Error: 136.9845733642578 Validation Error: 150.48275756835938 Test Error: 179.24490356445312
Round: 13000 Training Error: 141.04183959960938 Validation Error: 144.40811157226562 Test Error: 177.30601501464844
Round: 13500 Training Error: 98.72132110595703 Validation Error: 148.32177734375 Test Error: 177.90167236328125
Round: 14000 Training Error: 139.15835571289062 Validation Error: 149.1944122314453 Test Error: 179.12081909179688
Round: 14500 Training Error: 136.2847442626953 Validation Error: 150.28749084472656 Test Error: 178.64483642578125
Round: 15000 Training Error: 138.4443359375 Validation Error: 150.11534118652344 Test Error: 177.3471221923828
Round: 15500 Training Error: 98.91960906982422 Validation Error: 154.40658569335938 Test Error: 179.5183868408203
Round: 16000 Training Error: 140.3853302001953 Validation Error: 144.44944763183594 Test Error: 176.69827270507812
Round: 16500 Training Error: 97.56684875488281 Validation Error: 148.463623046875 Test Error: 178.03407287597656
Round: 17000 Training Error: 100.13375854492188 Validation Error: 147.13002014160156 Test Error: 177.4766845703125
Round: 17500 Training Error: 97.92373657226562 Validation Error: 147.8807830810547 Test Error: 177.5250701904297
Round: 18000 Training Error: 97.78089141845703 Validation Error: 148.53863525390625 Test Error: 178.78079223632812
Round: 18500 Training Error: 100.96577453613281 Validation Error: 147.26348876953125 Test Error: 177.2395782470703
Round: 19000 Training Error: 135.0183868408203 Validation Error: 146.36793518066406 Test Error: 177.7089385986328
Round: 19500 Training Error: 134.0493621826172 Validation Error: 148.6936492919922 Test Error: 178.14773559570312
Round: 20000 Training Error: 101.28620147705078 Validation Error: 147.75833129882812 Test Error: 179.55528259277344
5 3 0.01 20000 0.8 ['dr', 'mw', 'dw', 'residual', 'hvac', 'fridge']
Round: 500 Training Error: 156.1621856689453 Validation Error: 166.80014038085938 Test Error: 201.60684204101562
