nohup: ignoring input
3 4 0.1 20000 0.0 ['hvac', 'fridge', 'dr', 'dw', 'mw']
Round: 500 Training Error: 67.27696990966797 Validation Error: 100.5625228881836 Test Error: 87.1107406616211
Round: 1000 Training Error: 65.1891098022461 Validation Error: 100.23844146728516 Test Error: 88.31922149658203
Round: 1500 Training Error: 64.2138900756836 Validation Error: 100.14835357666016 Test Error: 88.38914489746094
Round: 2000 Training Error: 63.902732849121094 Validation Error: 99.53622436523438 Test Error: 87.96517181396484
Round: 2500 Training Error: 63.209686279296875 Validation Error: 100.47383117675781 Test Error: 88.72103881835938
Round: 3000 Training Error: 63.134578704833984 Validation Error: 99.15677642822266 Test Error: 87.53742218017578
Round: 3500 Training Error: 62.769134521484375 Validation Error: 100.69615936279297 Test Error: 89.00152587890625
Round: 4000 Training Error: 62.57023239135742 Validation Error: 99.78349304199219 Test Error: 88.45510864257812
Round: 4500 Training Error: 62.77626419067383 Validation Error: 100.00823974609375 Test Error: 88.89857482910156
Round: 5000 Training Error: 62.55547332763672 Validation Error: 99.44697570800781 Test Error: 88.35665130615234
Round: 5500 Training Error: 62.64659881591797 Validation Error: 99.81260681152344 Test Error: 89.08483123779297
Round: 6000 Training Error: 62.29692077636719 Validation Error: 100.31306457519531 Test Error: 89.32218170166016
Round: 6500 Training Error: 62.26834487915039 Validation Error: 100.67872619628906 Test Error: 89.28765106201172
Round: 7000 Training Error: 62.418277740478516 Validation Error: 101.26432800292969 Test Error: 89.92698669433594
Round: 7500 Training Error: 62.265869140625 Validation Error: 100.88771057128906 Test Error: 89.08326721191406
Round: 8000 Training Error: 62.32053756713867 Validation Error: 99.77091217041016 Test Error: 88.31542205810547
Round: 8500 Training Error: 62.16617965698242 Validation Error: 101.61113739013672 Test Error: 89.79963684082031
Round: 9000 Training Error: 62.164920806884766 Validation Error: 100.35964965820312 Test Error: 88.32350158691406
Round: 9500 Training Error: 62.55217742919922 Validation Error: 100.33827209472656 Test Error: 88.0254135131836
Round: 10000 Training Error: 61.84161376953125 Validation Error: 100.46369171142578 Test Error: 88.18407440185547
Round: 10500 Training Error: 61.91398620605469 Validation Error: 101.0174560546875 Test Error: 88.48435974121094
Round: 11000 Training Error: 62.97161865234375 Validation Error: 102.95501708984375 Test Error: 90.04495239257812
Round: 11500 Training Error: 61.81240463256836 Validation Error: 100.36114501953125 Test Error: 87.50189971923828
Round: 12000 Training Error: 61.74031448364258 Validation Error: 100.8947982788086 Test Error: 87.58526611328125
Round: 12500 Training Error: 61.57579040527344 Validation Error: 100.12474060058594 Test Error: 87.51547241210938
Round: 13000 Training Error: 61.8036003112793 Validation Error: 100.38937377929688 Test Error: 88.09919738769531
Round: 13500 Training Error: 62.60437774658203 Validation Error: 101.99882507324219 Test Error: 88.92513275146484
